system:index,B8A,B9,LAI,MSR2,OSAVI,RDVI,.geo
0_350,2003.0,1690.0,0.3212721049785614,0.30146632438219373,0.2222618080387207,19.812701226766762,
0_358,1589.0,1101.0,0.3136487901210785,0.2732539472970063,0.2034759558091882,10.53518582232698,
0_360,2516.0,1795.0,0.05787293240427971,0.5454102130227152,0.36928392981408353,20.09888574581961,
0_365,1900.0,1760.0,0.4288615882396698,0.10201169699730885,0.08068602413675803,18.54294769153246,
0_371,1961.0,1816.0,0.41388511657714844,0.18540588451501028,0.1423916832103293,20.54961492914898,
0_375,1601.0,1301.0,0.24709732830524445,0.19414149654503074,0.14864157102831776,15.006589276880328,
0_379,1945.0,1790.0,0.49830642342567444,0.12625582499551635,0.09900561787900222,22.270868097657285,
0_385,2622.0,2230.0,0.5128855109214783,0.28266624695313874,0.20980747771308955,14.786209285555252,
0_404,2032.0,1927.0,0.445480614900589,0.16343519520034525,0.1264926595796112,22.490892948955675,
0_433,1870.0,1656.0,0.4761829376220703,0.1251356422196595,0.09816937390577644,19.21707992587619,
0_436,1872.0,1695.0,0.5209875106811523,0.1498153846410723,0.11650646043684014,21.65153190953527,
0_443,2948.0,2120.0,0.047229260206222534,0.6762055861313888,0.43762459012605526,22.025821087587012,
0_470,2734.0,2327.0,0.4553645849227905,0.3740145587415536,0.2688426140271529,20.11838910636407,
0_477,2116.0,1965.0,0.48464590311050415,0.15329602489148728,0.11907302248673904,22.427156662790672,
0_509,2786.0,2142.0,0.49784258008003235,0.39759744711061795,0.283444412621497,20.278554305124477,
0_516,3240.0,1888.0,0.10337721556425095,0.6760328248609341,0.437547082369319,21.255757547442588,
